Runde 28,Fr 07.04.23 - 19:30                                                ,AC Bellinzona,FC Lausanne-Sport, Maxime Odiet, Devis Dettamanti, Leroy Hartmann, Mujo Dedukic,
Runde 27,Mo 10.04.23 - 14:15                                                ,FC Lugano,FC St.Gallen 1879, Stefan Horisberger, Benjamin Zürcher, Nicolas Müller, Tobias Thies,
Runde 27,Sa 08.04.23 - 18:00                                                ,FC Zürich,FC Basel 1893, Lukas Fähndrich, Jonas Erni, Bastien Lengacher, Tobias Thies,
Runde 28,Sa 08.04.23 - 18:00                                                ,FC Stade-Lausanne-Ouchy,FC Aarau, Marijan Drmic, Alain Heiniger, Cristiano Da Cunha, Logan Berchier,
Runde 28,Sa 08.04.23 - 18:00                                                ,FC Wil 1900,FC Thun Berner Oberland, David Schärli, Remy Zgraggen, Thomas Zihlmann, Patrick Rogalla,
Runde 27,Mo 10.04.23 - 16:30                                                ,FC Winterthur,FC Luzern, Urs Schnyder, Marco Zürcher, Guillaume Maire, David Schärli,
Runde 28,Mo 10.04.23 - 14:15                                                ,FC Vaduz,FC Schaffhausen, David Huwiler, Mirco Bürgi, Christophe Loureiro, Jonathan Jaussi,
Runde 27,Mo 10.04.23 - 16:30                                                ,BSC Young Boys,Grasshopper Club Zürich, Luca Piccolo, Vital Jobin, Claudio dos Santos, Marijan Drmic,
Runde 28,Fr 07.04.23 - 20:15                                                ,Yverdon Sport FC,Neuchâtel Xamax FCS, Anojen Kanagasingam, Matthias Sbrissa, Nicolas Tuberosa, Alexander Tester,
Runde 27,Sa 08.04.23 - 20:30                                                ,FC Sion,Servette FC, Sven Wolfensberger, Pascal Hirzel, Didier Dubrit, Maxime Odiet,
